OBJECTID,GLOBAL_ID,COURSE,TYPE_CODE,DISTHORZ,SYS_ID,SYS_TYPE,REFPT_ID,REFPT_TYPE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC,Shape__Length
11220,52502E17-06D5-4DF2-ADB1-80F5EFB2DA36,124.12,4,16.66,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,CE71EB14-7CB0-4A5F-8FF4-47A86FFEDEEB,2,0,0,1,0,0,0,0.308843577729932
11221,16893C5B-89DB-45C3-97B8-80F56AFD82E8,251.26,4,14.79,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,58CE906E-7FCB-48D5-8122-542DC7D0102E,2,0,0,1,0,0,0,0.312081132697896
11222,F982DB12-3858-4E14-8BD1-4996675199AE,14.94,4,18.21,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,EAC86B00-C397-4628-8A3A-45C728C2B414,2,0,0,1,0,0,0,0.31640200364097
11223,DBB624B6-8865-4F41-ABF1-916AA0302615,115.76,4,15,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,7336C649-1C05-4098-B2F9-FE4F92D7CB4F,2,0,0,1,0,0,0,0.33040432859757
11224,E3020A21-FD09-4ED9-93D7-3D3909FAD004,170,4,19.78,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,6EE050D8-1F7B-47A2-87DC-20B27F84EE86,2,0,0,1,0,0,0,0.33621195220877
11225,E955984B-3CBA-4A5F-AA7B-7220D1A5F781,340.42,4,20,43FC6012-6285-40C7-8272-6FFFA1B3CA28,NAVAID,0C7A1DF2-BF9C-4AE5-9BD5-DD4A6BD14F93,2,0,0,1,0,0,0,0.339536081796928
11226,8C3B54AC-DDC3-4D83-92AD-E10C1DB07408,259,4,17.27,57BC3644-9950-4CC6-B2F7-ECAF55FC76B8,NAVAID,A5742AD7-1B11-4D75-AFA0-CE98974095A9,2,0,0,1,0,0,0,0.350396293182465
11227,5106A6E5-9FF8-4BE7-B406-07FB62D86AAE,253,4,15.17,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,8D534C3D-FD5E-4251-AF3F-33E57D9C57AB,2,0,0,1,0,0,0,0.369140856828431
11228,AD6E4F96-CEB6-4B19-B3C1-428D6626AC3B,192.28,4,22,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,76A5E1F4-BA18-4BBD-99EE-954D39820D38,2,0,0,1,0,0,0,0.378356603036091
11229,1CBB51D0-9FDD-4F8E-B75F-54DAB8702213,339,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,78E92F5F-470A-42FE-9694-FD629FFEBD6F,2,0,1,1,1,0,0,0.381541999999968
11230,E96C62DC-F096-4803-A1A9-5CE15DA1D2D2,14.94,4,22,8953CE9B-8188-49FD-9D9E-C36F26570779,NAVAID,CC90F16C-6722-4AB3-9390-71B8A0BF7EBD,2,0,0,1,0,0,0,0.382317956619864
11231,5A2F526A-AAFB-48ED-8BDC-97BC30CD40E6,111.14,4,20.3,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,3A96EF12-D24C-4B06-B31B-51F16740FBFD,2,0,0,0,1,0,0,0.395989051567127
11232,FE54A557-9CE4-4C22-B540-79471AE73883,327.01,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,41E2DE82-9393-4FD3-9D09-3C84C6830DB1,2,0,0,1,0,0,0,0.402727696137198
11233,3F615E75-013D-4967-A5A7-65D3CE94A219,124.12,4,22,1DAAA28E-6E25-454D-A065-4481C747E572,NAVAID,3779CF37-BEA3-4286-A630-0F3ADAF5F859,2,0,0,1,0,0,0,0.407631782211626
11234,6161E6EE-42EB-4AA4-97DC-5CE9BA1D1BC5,170,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,9E1F7FCD-3766-40B8-B8B7-7641F77C6B06,2,0,0,1,0,0,0,0.409653902743583
11235,0FB0B415-AB81-4830-BFE6-23ACCD185CE4,191,4,,CE680DC9-3422-4714-BB8F-A950BE2D0B7B,NAVAID,3AE19C6B-4B72-413D-9DC9-AD3C025DC137,2,0,0,1,0,0,0,0.421764167726486
