OBJECTID,GLOBAL_ID,DISTANCE,DOGLGPT_ID,DOGLGPTID2,DOGLGPTID3,DOGLGPTID4,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
80,48B96432-BE23-4DBA-9486-E7A36AABC4EE,179.16,,,,,0,0,0,1,0,0
81,74A4CDB2-9D99-4AF2-92E6-9730814B2136,155.93,,,,,0,0,0,1,0,0
82,5DF5A97F-CB62-4454-A950-311CA017407F,34.55,,,,,0,0,0,1,0,0
83,DE5EF39A-4118-4861-8BF6-C78717D431D4,330.8,,,,,0,0,0,1,0,0
84,FA29029B-16BC-4EC4-824C-0EFB9D25A13B,115.43,,,,,0,0,0,1,0,0
85,174AB800-BB1C-468C-80C3-404911720A6B,244.98,,,,,0,0,0,1,0,0
86,E6B57E9C-7D82-46C2-A8FF-EB3A718A9AAF,296.1,,,,,0,0,0,1,0,0
87,BF2883B4-42C1-45B1-A0A7-9885631AC0E6,191.76,,,,,0,0,0,1,0,0
88,BC2102CF-3940-4FEC-9011-3F8B4110EB8D,199.89,,,,,0,0,0,1,0,0
89,146827B0-1FDB-4738-AD1E-1BA1DE83E45E,256.47,,,,,0,0,0,1,0,0
90,271A9746-10BD-4425-8199-C007EFFE2FC4,294.97,,,,,0,0,0,1,0,0
91,BD97102E-593A-45C5-A57A-CC69AC541B99,125.07,,,,,0,1,0,0,0,0
92,5D1918D0-2D42-4601-A261-41C0638B594D,148,,,,,0,1,0,0,0,0
93,AE5982CC-7892-43F2-93E6-CD86C247D175,192.19,,,,,0,1,0,0,0,0
94,7330CE66-C648-4412-AC15-5C83B85E73FC,204.96,,,,,0,0,0,1,0,0
95,7DEE8F39-B511-4D24-B21E-B9FF546FB7DC,118.52,,,,,0,0,0,1,0,0
96,6F20F7BB-1A79-467A-86BA-6697089DB0EC,104.13,,,,,0,0,0,1,0,0
97,25E6096D-BEB8-4B52-92A0-48AE67A50A76,104.11,,,,,0,0,0,1,0,0
98,945FAE6A-EF22-4DE3-82ED-B1DBDDFB6DD4,212.54,FE513963-8C15-4C22-B397-5EA0AAA9E64A,,,,0,0,0,1,0,0
99,DB1868D1-EDC8-46F6-A1E5-B5CAD7E32744,109.67,,,,,0,0,0,1,0,0
100,2BF01239-CEFC-4512-B731-CD9AAE36E981,171.88,,,,,0,0,0,1,0,0
101,669AE1E4-B689-4C22-9FAD-12E3361F49B1,344.8,,,,,0,1,0,0,0,0
102,904169D5-1A64-41B3-A6EF-203004C86B12,387.44,,,,,0,1,0,0,0,0
103,7EFAB6BA-CD8A-43F5-A02F-23CF7734EB9E,155.08,,,,,0,1,0,0,0,0
104,A91F8925-B9F4-4C83-8A00-77865FB69DBE,286.62,,,,,0,1,0,0,0,0
105,8CF70ED2-A897-4DB2-A40A-152D3BF683E1,203.68,B8478782-109F-472A-8C2F-8BDD2CEC946A,,,,0,1,0,0,0,0
106,1414A566-7B88-4B1F-A360-E3779DC25AFD,49.18,,,,,0,1,0,0,0,0
107,C6796C3D-26DD-460E-BC48-45C8D59208C7,201.55,,,,,0,1,0,0,0,0
108,170C4D10-8CCF-4620-8070-B527ABC293C1,163.09,,,,,0,1,0,0,0,0
109,E1377BD4-8369-4EC4-992B-9E3607A5ACE4,162.43,,,,,0,1,0,0,0,0
110,5480DCBB-359F-45CC-BFC4-663492144E25,34.55,,,,,0,0,0,1,0,0
111,0E53BE0A-B37B-4235-961E-D56197041766,185.09,,,,,0,0,0,1,0,0
112,FC56ED29-721B-40C3-9883-2714A89EE2A5,154.27,,,,,0,0,0,1,0,0
113,B8734899-48CE-4A21-B55C-B4EF8CCEBD41,111.93,,,,,0,1,0,0,0,0
114,80C02E9D-68E3-463A-9242-F6BFE19740FD,192.15,,,,,0,1,0,0,0,0
115,C0C7B1F3-F31B-43F0-A1DC-98145FFFA3DD,117.64,,,,,0,1,0,1,0,0
116,186B2467-D637-45F7-A95E-4ECBDA05380E,156.28,,,,,0,0,0,1,0,0
117,7FA88F55-BD0E-486B-9612-8575677965C5,149.21,,,,,0,0,0,1,0,0
118,6FAB5DB2-DB0A-4E13-980E-13ACC77D37DB,163.02,,,,,0,0,0,1,0,0
119,ADBC5111-93C3-4974-B0D0-0BB9E77AB66B,389.09,,,,,0,1,0,0,0,0
120,933F6339-35F4-4832-B86A-3F755E637B01,339.89,,,,,0,1,0,0,0,0
121,C519F558-D839-42DB-95A1-BC88410682AC,219.3,,,,,0,1,0,0,0,0
122,A9191685-4B1C-4B71-8AD7-B1EAA15CCCB7,230.14,,,,,0,1,0,0,0,0
123,4BC4DDA9-5CF2-4E26-B943-9C0F19A4564F,225.05,,,,,0,1,0,0,0,0
124,F8D7AA15-4C39-4E16-AFB1-1D91B8582928,219.4,,,,,0,1,0,0,0,0
125,EB29389F-A4BA-4754-B186-219F5FC77651,61.29,,,,,0,1,0,0,0,0
126,A89066BC-4FDE-43F4-864B-445C14434FB8,151.08,,,,,0,1,0,0,0,0
127,EEBA513C-77ED-45FB-8AD0-9D18D1D571E9,197.53,,,,,0,1,0,0,0,0
128,F849C77B-E54C-4FDA-A81A-0956B353656C,242.02,,,,,0,1,0,0,0,0
129,5C338229-453E-4E96-B904-34B8A1486919,159.41,,,,,0,1,0,0,0,0
130,836D068C-4D61-484F-B5F0-16E28C9E5E88,291.55,,,,,0,1,0,0,0,0
131,F886CE40-2437-4D6B-8FA9-D4B9FB2C940A,133.15,,,,,0,1,0,0,0,0
132,EE7F4DD9-5860-4809-B0A8-E91DF2BA5554,109.17,,,,,0,1,0,0,0,0
133,9BB1D100-0E90-487F-AB44-F2372BFE8E6E,216.66,2E8E2F35-423F-40F0-91E4-976E306B0AA7,,,,0,1,0,0,0,0
134,C060C5FF-6AF9-46B5-8E73-5A353C83CA6F,75.03,,,,,0,0,0,1,0,0
135,F52FCBB1-AD9B-45B8-A0A2-536D34B0365C,157.14,,,,,0,0,0,1,0,0
136,88CD861D-389F-4C74-8CB3-832274C0A20E,106.7,,,,,0,0,0,1,0,0
137,D988D4E1-5FCA-4F4B-9BBF-B10AD8CD1EBC,104.22,,,,,0,0,0,1,0,0
138,F7604E77-D173-4C78-97FB-68AB465CA79C,146.01,,,,,0,0,0,1,0,0
139,54B25B3D-8508-42A0-9A54-BC0A4FB4F6E5,99.39,,,,,0,1,0,1,0,0
140,BFB6F235-F620-4992-87A0-589EB3AEFD5D,74.68,,,,,0,1,0,1,0,0
141,0BD33667-F65F-40AB-8510-421246B0B05D,97.19,,,,,0,1,0,1,0,0
142,B5F014D7-9CDF-4660-B468-0C5712941846,131.75,,,,,0,1,0,0,0,0
143,3E93DB72-B511-48A5-86B2-15910BD0FC28,265.33,A7A85165-E447-4E99-BE7C-4B77268049BE,,,,0,0,0,1,0,0
144,13F3DE26-002F-4BC9-8D1D-84B13A4392A4,114.85,,,,,0,0,0,1,0,0
145,E1FDA6B6-3D07-48DB-8928-3FDE4AAA6EF7,245.98,,,,,0,0,0,1,0,0
146,8391526E-6301-4A48-957C-6975410A6F57,135.2,,,,,0,0,0,1,0,0
147,1F3548EE-2F3F-4537-9858-5A243FDE0553,176.34,,,,,0,0,0,1,0,0
148,ED54E97B-E965-4E9F-8EA6-D170F5CBE467,123.22,,,,,0,0,0,1,0,0
149,7B9988D5-835A-4F4E-976E-69467B9396C3,164.85,45D70D78-4490-4E97-A92C-8C8B0F45EE9D,,,,0,1,0,0,0,0
150,D76FB88D-8694-4D1F-BD10-1FA6FF82C720,107.99,,,,,0,0,0,1,0,0
151,C0E0DD8A-8BBF-46B8-BB87-871CFE27AA3A,146.42,,,,,0,0,0,1,0,0
152,9402E3E6-674F-44F8-8353-788202BFFF96,91.45,,,,,0,0,0,1,0,0
153,79B6E28C-E4DC-40DA-9A5E-7D93AD12140A,131.21,,,,,0,0,0,1,0,0
154,41630462-4D28-4B35-B678-6EE5405937FC,191.74,,,,,0,0,0,1,0,0
155,7DCA6CA3-3619-4BAD-BDBB-8C6CA43E06DD,151.62,,,,,0,0,0,1,0,0
156,AEA31A11-ED2A-452F-9C1F-391774E4CFE8,210.38,803BCA72-E246-4E32-ABF2-FCAFA87B470C,,,,0,0,0,1,0,0
157,344DC17F-4C76-4ADA-AEBA-BAB1A2E78993,160.78,,,,,0,0,0,1,0,0
158,EED18C8E-0F2E-4F27-935F-4A190B71B5D6,117.27,,,,,0,0,0,1,0,0
159,6E15066A-7CC6-475D-8C0E-1BC3EC04D4B8,289.5,,,,,0,0,0,1,0,0
160,A484002C-FC56-4438-813E-7B28EBCDFA04,408.78,FE9C2655-7E69-49BC-BB79-86326FB5FECA,,,,0,1,0,0,0,0
161,2A93086D-022A-42A4-AB53-357AE3DA9B02,0.36,,,,,0,1,0,0,0,0
162,93C9A5D2-CC23-42E6-BA56-85DE0AAD0A73,107.02,,,,,0,1,0,0,0,0
163,FB46CD4A-E390-4330-9437-926E658D47D0,20.88,,,,,0,0,0,1,0,0
164,DEA7E477-14F2-4ED3-B0EB-0CB31B403B3C,95.29,,,,,0,0,0,1,0,0
165,09A69E1C-B877-432D-98CC-2896A773049F,79.12,,,,,0,0,0,1,0,0
166,12BADEB7-674D-4C39-B697-C4021E4C67B0,183.56,,,,,0,0,0,1,0,0
167,3D09AEA9-C36C-4E7C-8254-06662D19015E,204.07,,,,,0,0,0,1,0,0
168,CAA2E3CA-3C3D-45B6-9894-4FCA84E4E2CB,150.14,,,,,0,0,0,1,0,0
169,9FCC8D31-12F0-4B2C-B888-CAC2800F6AC5,191.76,,,,,0,0,0,1,0,0
170,FACBC071-6712-4A24-96FB-C56FE4C06BA6,289.9,,,,,0,0,0,1,0,0
171,497CE156-F9D7-423B-9C87-21A8F7237E79,189.67,,,,,0,1,0,0,0,0
172,727DF4F2-B231-46EC-BBE3-509554C20EE8,94.02,,,,,0,1,0,1,0,0
173,4D52A09A-94B7-4F92-A883-4E1AC4DC13B0,102.24,,,,,0,1,0,1,0,0
174,D53441F8-B62B-463E-AB5B-F25D51A29286,130.07,,,,,0,1,0,1,0,0
175,CDF21E73-C82B-4167-925A-604DEF3EF2EB,80.83,,,,,0,0,0,1,0,0
176,C50C6537-4885-456A-9FFC-C3DA40F606A1,159.89,,,,,0,0,0,1,0,0
177,E98B9D88-6D54-4A1E-8AB9-A89E2759801B,146.74,,,,,0,0,0,1,0,0
178,9161F14E-A3D0-4AA0-BEC7-A108EE563119,263.56,,,,,0,0,0,1,0,0
179,2BA38B2B-93CD-4207-9125-CAB8BD263B66,132.45,,,,,0,0,0,1,0,0
180,B03FFB87-8567-456C-889E-914B79583FB1,99.89,,,,,0,0,0,1,0,0
181,73989124-41BC-4031-946C-2E5F10BA35DC,104.81,,,,,0,0,0,1,0,0
182,510E4A5B-2DA1-4EFA-9318-402EF60FED9E,204.58,,,,,0,0,0,1,0,0
183,38D902BA-EDA5-4E7E-AFFD-4F784B375052,152.64,,,,,0,0,0,1,0,0
184,1E909237-89B4-4C03-952F-BDBB017ECD38,209.92,,,,,0,1,0,0,0,0
185,FFC9945C-2C31-487E-8102-C2B290AC6E23,200.98,,,,,0,0,0,1,0,0
186,503B911F-56A0-4DF1-9024-536803DBA7B0,270.59,,,,,0,0,0,1,0,0
187,2B6FBF32-8361-4060-8781-609EA7891B96,269.68,,,,,0,0,0,1,0,0
188,9AC6459A-696B-482C-B715-8A417DBB96BB,191.68,,,,,0,0,0,1,0,0
189,21404D89-2AF8-44BE-87CE-571EAF303660,327,,,,,0,0,0,1,0,0
190,55F24293-507F-4529-A514-EEB00FA70747,61.4,,,,,0,0,0,1,0,0
191,169E2474-AA26-446F-B4D7-33555CC36C7A,247.63,,,,,0,1,0,1,0,0
192,6DE12EEA-3368-42E7-878D-23A0F52A58D4,56.58,,,,,0,1,0,1,0,0
193,DF69776E-1344-4421-B120-263B79B675B0,131.59,,,,,0,1,0,1,0,0
194,EFE896F4-E06B-4CB4-B336-53658CFBBF90,181.56,,,,,0,1,0,1,0,0
195,F9D51953-C4E5-488A-8208-D9884012D756,143.79,,,,,0,0,0,1,0,0
196,A2F557CF-FA6A-4BF0-885C-97CAA8C55D62,110.74,,,,,0,0,0,1,0,0
197,91D54494-E224-4FEA-9286-0F14E792C735,96.46,,,,,0,0,0,1,0,0
198,18CBD196-592E-4C54-876C-38A17C2248D3,97.5,,,,,0,0,0,1,0,0
199,0540005E-4CC2-4551-BCE1-CFF940563FB8,256.57,,,,,0,0,0,1,0,0
200,6168671C-C083-41FC-97B4-0BE99AC01BF9,245.6,,,,,0,0,0,1,0,0
201,52A6D6D8-07CE-413E-8CA0-941EAB869082,234.9,,,,,0,0,0,1,0,0
202,13A245B9-C44C-406F-8E13-4BE63D0C5ACC,148.47,,,,,0,0,0,1,0,0
203,D3B1D65D-8CB7-409E-9D80-C9976B61B1F3,90.93,,,,,0,0,0,1,0,0
204,852DAEE9-D8DB-4B08-B31C-07F98CB9451E,67.98,,,,,0,0,0,1,0,0
205,E300619B-FAAC-4C59-AD1B-FADB23DF0FA9,259.37,,,,,0,0,0,1,0,0
206,FF6D2997-47FF-40F7-BA3A-F4F64DACDE5F,121.24,,,,,0,0,0,1,0,0
207,C55ABBE3-B3AA-4905-ADDA-55751B622C11,252.52,,,,,0,0,0,1,0,0
208,87D97EA8-BB9A-47B0-80B7-2A4DE6D3B679,283.13,,,,,0,0,0,1,0,0
209,95ECEBFB-DA4C-4509-8EE2-553D34B182BB,239.6,,,,,0,0,0,1,0,0
210,8D1E8FA8-8A7C-4EBC-BFF5-4FA023CD6082,324.7,EA21FE9E-CAE3-4B58-BAB6-D4AF86D70B09,,,,0,0,0,1,0,0
211,1376D1FD-5EFB-40EC-BF18-7F612AA14708,66.73,,,,,0,0,0,1,0,0
212,1AC21714-83C8-404F-880C-2BCA698C595A,241.16,F98C775D-72E3-4BE1-B135-2242B1B3FA91,,,,0,0,0,1,0,0
213,E516CDB4-E95A-4D44-9730-60432564308B,192.1,,,,,0,0,0,1,0,0
214,4F624E4B-1423-459E-A59E-19E194E3249A,112,,,,,0,0,0,1,0,0
215,BD7FC1AD-AEB1-46A3-BB44-1C983CF8896D,81.18,,,,,0,0,0,1,0,0
216,9ECDF90F-EF69-421A-B7F3-35287D86B83B,69.38,,,,,0,0,0,1,0,0
217,1D7D7F2B-D453-4271-B39C-0B00EB1937E3,119.74,,,,,0,0,0,1,0,0
218,366C9CB8-DAD4-4ACB-9BAC-E071159CFB5A,142.37,,,,,0,0,0,1,0,0
219,9DEC5C28-93E3-4AD7-9CD0-E1ECF14212AF,289.93,,,,,0,0,0,1,0,0
220,B265A778-2EB5-4C42-9DA2-2187B98DABF2,72.12,,,,,0,0,0,1,0,0
221,08441959-7F8F-4CB0-A31A-06B6A2D2C7E8,124.23,,,,,0,0,0,1,0,0
222,698A7F8C-2C0B-4341-8815-CD247EB6470C,156.39,,,,,0,0,0,1,0,0
223,36EE51FD-DEA2-44FE-B20F-0B993274448E,153.69,,,,,0,0,0,1,0,0
224,5DF17C81-6B37-4C93-A75A-72D401640456,210.11,,,,,0,0,0,1,0,0
225,3955FB25-F5B8-4FB6-BF5E-3B6285882037,263.35,,,,,0,0,0,1,0,0
226,57621193-D4CD-4CC9-9E2C-DB524E6DD790,150.72,E146FAFB-F836-4AE4-B975-40670D140535,,,,0,0,0,1,0,0
227,B9A5E2E5-04D0-41AB-8D15-542CFD97829B,239.09,,,,,0,0,0,1,0,0
228,7C9ED76D-7585-4442-BA0A-8291F4F88EC3,135.01,,,,,0,0,0,1,0,0
