OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,APRON_OPER,Shape__Area,Shape__Length
699,TPA,KTPA,AIRSIDE E,1,2,1.60794165056377e-06,0.00547884385772014
700,TPA,KTPA,AIRSIDE F,1,2,1.77948527380067e-06,0.00615647266990459
701,SWF,KSWF,UNK,1,2,1.34728088596603e-06,0.00475547299722691
702,SWF,KSWF,CARGO AREA,1,2,1.75134300661739e-06,0.00570684474866905
703,SWF,KSWF,CARGO AREA,1,2,3.71598457604705e-06,0.00944699916821438
704,SWF,KSWF,UNK,1,2,2.4738196771068e-06,0.00896482403656147
705,SWF,KSWF,UNK,1,2,1.40021938932477e-07,0.00187608618327798
706,SWF,KSWF,UNK,1,2,3.5236530493421e-07,0.00305228494723013
707,SWF,KSWF,UNK,1,2,1.36110656967503e-07,0.00178297089949819
708,SWF,KSWF,UNK,1,2,2.4507357920811e-07,0.00238701826481807
709,SWF,KSWF,UNK,1,2,7.01676526659867e-07,0.00360828968176313
710,SWF,KSWF,UNK,1,2,4.22974380853702e-07,0.0027427614949503
711,SFO,KSFO,UNK,1,2,1.05489198176656e-06,0.00453793243253435
712,SWF,KSWF,GENERAL AVIATION RAMP,1,2,1.23377383260959e-05,0.0320519618363135
713,TUS,KTUS,WEST RAMP,1,2,7.89167233961052e-06,0.0224585563460911
714,SFO,KSFO,B/A B,1,2,2.05102742256713e-06,0.00678674219867593
715,TUS,KTUS,UNK,1,2,1.41645033200355e-05,0.025009034893847
716,TUS,KTUS,AIR FREIGHT RAMP,1,2,7.23536641089595e-06,0.0111701450541759
717,TUS,KTUS,UNK,1,2,5.55407929549688e-07,0.00389161823726797
718,TUS,KTUS,UNK,1,2,1.77567322579009e-06,0.00897319323877721
719,SFO,KSFO,RAMP TWR G,1,2,7.79526362748584e-06,0.0127690946079231
720,TPA,KTPA,UNK,1,2,5.82733605051892e-06,0.0164286059295296
721,TPA,KTPA,UNK,1,2,4.90712523568138e-06,0.0112930108032004
722,SFO,KSFO,RAMP TWR A,1,2,2.68020767180133e-06,0.00649048676822626
723,SFO,KSFO,B/A A,1,2,5.53808467884664e-06,0.0105472012949277
724,SFO,KSFO,B/A G,1,2,6.23000414634589e-06,0.0132262717489223
725,TUS,KTUS,COCHISE RAMP,1,2,7.81127646930918e-06,0.014923031306755
726,TUS,KTUS,UNK,1,2,4.30293766839895e-06,0.0132311299939394
727,TUS,KTUS,UNK,1,2,4.15708664505687e-07,0.00307537265256542
