X,Y,OBJECTID,GLOBAL_ID,CARTOANGLE,ENRINFO_ID,DISTANCE1,DISTANCE2,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-99.5135465019999,40.42028952,58,8CBC4EC9-70EF-4CA3-9B1B-0181EA1C2994,74.98,7C7E631E-CABA-4F16-8E4F-7FC8CCB38F3A,51,130.35,0,0,0,1,0,0
-106.081006185,39.6083072870001,59,BEEB775F-5CA5-449A-A707-1385C1E474F4,74.73,86DEA561-84F1-4B5E-BBF8-D16ADF1ADE35,39,69.67,0,0,0,1,0,0
-84.033966745,41.455299483,60,15B89175-06A2-480F-A282-36090E3E3AE4,92.01,19239A48-873E-4AED-9692-6804CCB201AE,90,84.72,0,0,0,1,0,0
-82.725208885,40.9297534,61,827FA8EB-7126-4139-AAB5-33213BBFA8CE,90.7,56A0F2C4-F6C8-4BBF-B4E9-A1ECA0018552,112,114.57,0,0,0,1,0,0
-119.057791556,37.6159565250001,62,FA380A6D-1BE4-4852-8CF4-951B41AF8B3D,39.83,7B4ACF9A-03A0-4906-9DE6-C15D4EB4AA23,40,74.8,0,0,1,0,0,0
-110.345212424,32.529105471,63,42E1B07F-2BAE-479C-8BCC-C4D1976C07EC,104.68,53BF58AA-2A03-4A40-8E6B-6E83DBD24870,82,57.12,0,0,1,0,1,0
-89.180083333,46.2025611110001,64,ABC25627-C42D-4FA4-B33B-7A9207602156,116.39,7CAB7294-0BD9-4263-811E-214BC2AA1B77,44,50.33,0,0,1,0,0,0
-151.863986523,58.8445936800001,65,FA6962B7-7ED2-44C4-975E-4E466AC80878,12.98,25316B64-9A01-435C-8932-A5924CDD4074,66,53.57,1,0,0,0,0,0
-111.431521354,40.6464423300001,66,A146CE46-788F-479F-8A90-380AE86C2467,115.89,59E61A33-89F9-4981-B9E0-F4D82F9A52C4,28,66.74,0,0,1,0,0,0
-164.841761467,61.771069632,67,759BE1CC-790D-4E4D-85E5-A7DC4F3B3A5E,66.77,E9137227-C351-4F1D-987F-4B568605F81D,40,47.63,1,0,0,0,0,0
-159.215587813,65.7175868250001,68,DCEEA209-3917-4EDD-9B55-7FF2F83156E1,314.86,6D3E1991-BB7F-4859-A877-661BC8623064,85,107.15,1,0,0,0,0,0
-150.108312102,65.6190533390001,69,C12EEA1E-B031-41C0-8D34-0A66EFDB19B9,337.49,2AA57B59-5B0D-4CF9-9AB9-91C7C32442F3,67,85.1,1,0,0,0,0,0
-164.215549365,65.462054364,70,DCB86BFF-BB59-467B-9161-343D9F63DD2E,23.75,CE88C95D-9A1F-42A6-A3F0-E64A1F0D09FF,64,95.41,1,0,0,0,0,0
-153.927882558,58.1403273170001,71,21E63C27-C9A8-4CEE-B6DA-114719A2D5C0,294.07,4FA1EE27-19E3-4BC6-A6F4-7C2B6C88C967,55,96.08,1,0,0,0,0,0
-115.937391491,33.905296358,72,89D8FDC8-6554-495A-B758-6219B96C2DC8,33.81,39A1D6F3-A319-4FDD-9D0F-EE9026C434F8,20,14.95,0,0,1,0,0,0
-93.454226729,35.1121259540001,73,6850B742-EFA9-42DE-9E8A-4EE3E8616523,334.77,FEEB336D-3E2F-4C04-A427-381AD52E9D52,42,75.37,0,0,1,0,0,0
-97.2730084839999,39.731746249,74,6B3B2DCE-F9F3-46A6-947F-6BDD6CFC5EBE,18.43,63252D84-8C32-4503-BA13-E3D23BB324EB,51,75.52,0,0,1,0,0,0
-83.5780778819999,39.629257652,75,EF668FA9-2871-44DA-A816-8D0F4309F6E0,54.59,D4DA2CC7-9A7D-486C-9D1A-F87C92A7152B,64,55.39,0,0,1,0,0,0
-149.461781142,60.052245418,76,AFF04D99-0EC7-415C-9764-8FD6675BB35E,70.26,E9F193DC-B863-4712-87A7-8378632A08FC,63,90.09,1,0,0,0,0,0
-116.880838881,33.690644234,77,F66D62B9-9977-43C0-8AA6-6B640CF2741A,95.07,DE53CB9C-C231-4C4C-813B-2EBFBE32F387,59,36.29,0,0,1,0,0,0
-85.174854868,31.1097610890001,78,571C60AC-2E7A-4044-B62B-C9E80A53270F,308.89,80B7CEDE-A60C-4517-8CE7-C0B75422D419,53,16.84,0,0,1,0,0,0
-113.466295866,46.508659386,79,30178838-CD29-44C7-B61F-59328EBDF45A,133.01,90B33123-0767-4958-BA7E-BDBCBA9E5791,35,41.38,0,0,1,0,0,0
