OBJECTID,GLOBAL_ID,DISTANCE,STARTPT_ID,ENDPT_ID,ENRINFO_ID,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
77,EBA84163-85BB-4DE7-94BB-7145345ACBEE,69.62,6487AD6D-35EF-4E21-BFF6-30D91100EAE3,A9B89E7C-788A-49CF-9F3E-8AEFD5391B73,E659830A-315A-4565-8013-88C8B2F3AD96,0,0,0,1,0,0
78,F7718606-E486-41E6-8F18-BB62393398FF,73.07,A9B89E7C-788A-49CF-9F3E-8AEFD5391B73,913FCC6F-2D7C-48CF-B075-3FD4D3F113AB,BA8AB1F6-9ED2-4020-8DFE-97AF7CF8A020,0,0,0,1,0,0
79,C5EAC4A3-6590-4418-BC76-FE56CEC4F95F,47.38,913FCC6F-2D7C-48CF-B075-3FD4D3F113AB,7251C508-525D-4B5D-833F-592304049E38,C5D7E8CB-D429-43CC-981F-1EF6D0CA96DA,0,0,0,1,0,0
80,66F7AF8A-6677-4269-893F-064D71D63A7C,43.69,7251C508-525D-4B5D-833F-592304049E38,85D88147-CF8D-436B-91F1-2395081AFA19,EAE6D691-A5A5-4EF7-94DA-83586B202A6D,0,0,0,1,0,0
81,8E2F15DE-38CE-453C-B8C4-F3868D9A3E54,55.69,85D88147-CF8D-436B-91F1-2395081AFA19,58C38658-9B90-4A55-908C-150466A772BD,91F354C1-639B-4EA7-99EA-59F4C3573325,0,0,0,1,0,0
82,605F6DFE-3A70-4201-A4ED-B9191CA2F505,86.38,58C38658-9B90-4A55-908C-150466A772BD,D1CE6ED2-C035-4D77-B388-ABC99ECEE965,FF2A066E-694C-4468-A7A4-80E015A2E4A2,0,0,0,1,0,0
83,33DE9CEA-FCA8-453D-99AF-55386CDEBD21,170.52,B8D5B220-3385-47A5-BF88-4BAFC9E26331,B1701D6B-B58D-495D-ADEF-7C6E64E5FFDE,5E99A6BC-2DF5-431B-B864-C4409D0C2A6B,0,0,0,1,0,0
84,34D917F1-E515-4F6F-9386-836B608175BB,33.56,B1701D6B-B58D-495D-ADEF-7C6E64E5FFDE,054C2199-E7F5-4BB8-A9F1-E022CF208DCA,F3DECCB3-A33C-434A-AE53-D03F5FBF2E11,0,0,0,1,0,0
85,4FBC330D-F7ED-4B5C-8890-FFD1A1FB8771,185.76,054C2199-E7F5-4BB8-A9F1-E022CF208DCA,3BAFC6AD-2171-4AE8-8315-26A94EF39617,6DA96C45-EF91-4102-BD06-139E4388F699,0,0,0,1,0,0
86,4B26C6AC-1C09-4EC8-BE0B-B1CD27B64079,157.23,3BAFC6AD-2171-4AE8-8315-26A94EF39617,2710EEC5-6285-48EC-A8DA-7A58AE151BBA,0EF30EFB-A4BD-4B7A-8965-D3888D4AEF12,0,0,0,1,0,0
87,B7482237-DDF3-43FF-8729-AB66AF37634F,242.35,2710EEC5-6285-48EC-A8DA-7A58AE151BBA,67A2E743-647E-47A6-B4EB-B26908C87C43,93CD3311-4FCB-4B2B-B057-E3D57EC436DB,0,0,0,1,0,0
88,3087CB46-D667-483C-AF1B-A8E5E7F78A6D,133.28,041ED958-125B-408F-B3F0-0522A3BCE55C,0D5E6D95-9DA4-448A-A755-10F7DE0242D8,E2828E29-3348-47BE-BFDC-12909A590EBF,0,0,0,1,0,0
89,D1D5ADAC-D7A2-4A48-B5E7-CBC625507736,54.2,0D5E6D95-9DA4-448A-A755-10F7DE0242D8,3F7B7F7A-B006-4695-839C-0A4166B2319D,F5BCA9DD-471B-41EC-BE7A-F851E256FE4B,0,0,0,1,0,0
90,A372DDE3-D33B-4D21-B29E-413491377A2E,103.07,84B6146B-FCDF-4E9A-9D84-73CDCF016682,B33B9897-ECDE-4DF0-8B5B-0A1F24E24822,E1865258-18D3-4A8E-B26F-00090A5801DB,0,0,0,1,0,0
91,C923F7EB-9910-4109-8C67-79EB38176E61,84.75,B33B9897-ECDE-4DF0-8B5B-0A1F24E24822,8FD9FC89-F0C8-44F5-A7D3-87314E290486,450D5D25-6D2D-44DD-BACA-01ED51B755F1,0,0,0,1,0,0
92,4A48170B-8B37-4A06-84CC-14E024D92508,174.49,8FD9FC89-F0C8-44F5-A7D3-87314E290486,E894CD0E-F5B2-4C75-95BE-DAA74FF81CF8,DF8C3760-9674-477E-B57F-A9B22C9A5003,0,0,0,1,0,0
