OBJECTID,FAA_ID,ICAO_ID,DESIGNATOR,SURFACE,TWY_OPER,Shape__Area,Shape__Length
11594,SJC,KSJC,K,1,2,4.40307065745216e-07,0.00384056648673573
11595,SJC,KSJC,Y,1,2,4.86521801831841e-07,0.00408327583078656
11596,SJC,KSJC,Z,1,2,4.8645106533185e-08,0.000981779691995244
11597,SJC,KSJC,A1,1,2,7.66295607888129e-08,0.00125356984542486
11598,SJC,KSJC,Y,1,2,9.45927786481782e-08,0.00124421926837591
11599,SJC,KSJC,Z,1,2,9.78993739408907e-08,0.00126656557577853
11600,SJC,KSJC,B,1,2,1.28802739512296e-07,0.00244782275083163
11601,SJC,KSJC,Z_A1,1,2,1.90412893487368e-07,0.00174195072087429
11602,SJC,KSJC,A_Z,1,2,2.22345221366493e-07,0.00191790708955479
11603,SJC,KSJC,A1,1,2,2.48406092532433e-07,0.0024700509822808
