X,Y,OBJECTID,GLOBAL_ID,IDENT,NAME,LATITUDE,LONGITUDE,WKHR_CODE,WKHR_RMK,ELEVATION,FREQUENCY,MAGVAR,MAGVAR_DAT,NAV_TYPE,TYPE_CODE,NAVSYS_ID,AWYSTRUC,CHANNEL,STATUS,VOICE,SLAVEVAR,PRIVATE,AK_LOW,AK_HIGH,US_LOW,US_HIGH,US_AREA,PACIFIC
-118.292535556,46.0869761110001,1860,55A43934-A2DE-4A26-91C8-74438F99BBA6,ALW,WALLA WALLA,46-05-13.116N,118-17-33.127W,H24,,1149.6,116.4,14,,3,,66A3B0CE-5B32-4BBE-AFDD-CA8400F6A906,1,,1,0,14,0,0,0,1,1,0,0
-118.292535556,46.0869761110001,1861,37148610-9562-4505-A62E-BB35F125D30D,ALW,WALLA WALLA,46-05-13.116N,118-17-33.127W,H24,,1149.6,116.4,14,,2,,66A3B0CE-5B32-4BBE-AFDD-CA8400F6A906,1,111X,1,0,14,0,0,0,1,1,0,0
-120.2108625,47.399696389,1862,B5FABA7F-6E70-4210-B4DF-D81BC5D70BDE,EAT,WENATCHEE,47-23-58.893N,120-12-38.979W,H24,,1221.7,114.35,15,,3,,08C6320A-D6CC-461E-98D6-79C51B1E242D,1,,1,0,15,0,0,0,1,1,0,0
-120.2108625,47.399696389,1863,8C665CA5-A38E-404E-B0AD-8BFBA8C7E1D8,EAT,WENATCHEE,47-23-58.893N,120-12-38.979W,H24,,1221.7,114.35,15,,2,,08C6320A-D6CC-461E-98D6-79C51B1E242D,1,90Y,1,0,15,0,0,0,1,1,0,0
-120.444636667,46.570242222,1864,83F392F0-1425-4DEF-89C1-A2FA99392557,YKM,YAKIMA,46-34-12.877N,120-26-40.692W,H24,,987.4,116,21,,3,,F6705E44-8E54-4B8A-8285-EDF3F7712F0C,0,,1,0,21,0,0,1,1,1,0,0
-120.444636667,46.570242222,1865,83308371-3F46-4E24-AD62-7C2D6307AC0F,YKM,YAKIMA,46-34-12.877N,120-26-40.692W,H24,,987.4,116,21,,4,,F6705E44-8E54-4B8A-8285-EDF3F7712F0C,0,107X,1,0,21,0,0,1,1,1,0,0
-89.763622222,43.550831944,1866,043336DA-25A4-425A-B107-21DDB3B0FAC3,DLL,DELLS,43-33-02.995N,089-45-49.040W,H24,,1022.5,117,3,,3,,6CE18F16-E74A-44AA-9ECC-DECDC9528BCB,0,,1,1,3,0,0,0,1,1,0,0
-89.763622222,43.550831944,1867,972E6A35-A086-4DE2-A401-CBCC7B6F110D,DLL,DELLS,43-33-02.995N,089-45-49.040W,H24,,1022.5,117,3,,4,,6CE18F16-E74A-44AA-9ECC-DECDC9528BCB,0,117X,1,1,3,0,0,0,1,1,0,0
-90.259,43.9428333330001,1868,0D46F0C1-EA1B-484F-817A-2471F1B73E30,VOK,VOLK,43-56-34.200N,090-15-32.570W,H24,,902.9,110.4,0,,4,,4D4F0AA0-8E9E-49DE-BB55-35CA73CCC33B,1,41X,1,1,0,0,0,0,1,0,0,0
-91.478535,44.8976702780001,1869,456F6C23-9AD0-4FD1-9715-04A4B8B74DC9,EAU,EAU CLAIRE,44-53-51.612N,091-28-42.726W,H24,,904.3,113.65,4,,3,,435A40E1-373C-4C20-BF99-6872CF22878A,2,,1,0,4,0,0,0,1,1,0,0
-91.478535,44.8976702780001,1870,AA654930-CF9F-4008-8A9A-FFA7524E64E9,EAU,EAU CLAIRE,44-53-51.612N,091-28-42.726W,H24,,904.3,113.65,4,,4,,435A40E1-373C-4C20-BF99-6872CF22878A,2,83Y,1,0,4,0,0,0,1,1,0,0
-88.132852778,44.398517778,1871,4D1935FE-E31E-48A9-ABBA-92D8EF5970C8,SG,DEPRE,44-23-54.669N,088-07-57.934W,H24,,638.1,332,-2,,1,,DF77192E-5918-4E25-B153-D5879EEB4C02,,,1,0,-2,0,0,0,1,0,0,0
-88.1948563889999,44.5551602780001,1872,F17DC31A-8A88-4FFB-A6AC-B90DEAEFAAFD,GRB,GREEN BAY,44-33-18.576N,088-11-41.486W,H24,,766.5,115.5,1,,3,,F71C877A-5916-4DCB-A41D-9CA54A7F29A2,0,,1,0,1,0,0,0,1,1,0,0
-88.1948563889999,44.5551602780001,1873,8119C073-E106-4C08-99A9-6E2E55DDDB62,GRB,GREEN BAY,44-33-18.576N,088-11-41.486W,H24,,766.5,115.5,1,,4,,F71C877A-5916-4DCB-A41D-9CA54A7F29A2,0,102X,1,0,1,0,0,0,1,1,0,0
-89.105257778,42.558009444,1874,982B3B96-92DB-4ECC-B734-4BE81BBC3585,JVL,JANESVILLE,42-33-28.829N,089-06-18.927W,H24,,931.5,114.3,3,,3,,0CE1FE2A-A5F6-496B-9DCB-9D37DCD543D2,2,,1,0,3,0,0,0,1,1,0,0
